bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1094058,772186,2018-08-20,Assembly,"AJR 33 LIMÓN Assembly Third Reading",53,16,11,0,80
1094058,773155,2018-08-28,Senate,"Assembly 3rd Reading AJR33 Limón et al. By Monning",25,10,5,0,40
1094109,735600,2018-04-09,Assembly,"Be adopted. To Consent Calendar",12,0,2,0,14
1094109,738281,2018-04-12,Assembly,"ACR 179 FLORA Consent Calendar Second Day Regular Session",68,0,9,0,77
1094109,769736,2018-07-03,Senate,"Be adopted, but first be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",12,0,1,0,13
1094109,771299,2018-08-13,Senate,"Consent Calendar ACR179",37,0,3,0,40
1095057,742127,2018-04-23,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",9,0,0,0,9
1095057,754329,2018-05-17,Senate,"Consent Calendar SB1491 B.P.&E.D",38,0,1,0,39
1095057,765813,2018-06-19,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",17,0,2,0,19
1095057,771516,2018-08-15,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
1095057,773176,2018-08-28,Assembly,"SB 1491 B., P. & E.D. Senate Third Reading By LOW",80,0,0,0,80
1095069,742113,2018-04-23,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",9,0,0,0,9
1095069,754365,2018-05-17,Senate,"Consent Calendar SB1492 B.P.&E.D",38,0,1,0,39
1095069,765798,2018-06-19,Assembly,"Do pass and be re-referred to the Committee on [Higher Education] with recommendation: To Consent Calendar",17,0,2,0,19
1095069,768978,2018-06-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,0,1,0,13
1095069,771096,2018-08-08,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
1095069,771714,2018-08-16,Assembly,"SB 1492 B., P. & E.D. Consent Calendar Second Day Regular Session",76,0,4,0,80
1095069,772288,2018-08-20,Senate,"Unfinished Business SB1492 B.P.&E.D. (Hill) Concurrence",39,0,1,0,40
1095093,739871,2018-04-16,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",9,0,0,0,9
1095093,748851,2018-05-03,Senate,"Consent Calendar SB1493 N.R. & W",38,0,1,0,39
1095093,761795,2018-06-11,Assembly,"Do pass and be re-referred to the Committee on [Water, Parks, and Wildlife] with recommendation: To Consent Calendar",10,0,0,0,10
1095093,768370,2018-06-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1095093,771511,2018-08-15,Assembly,"Do pass as amended. To Consent Calendar",17,0,0,0,17
1095093,772968,2018-08-27,Assembly,"SB 1493 N.R. & W. Consent Calendar Second Day Regular Session",80,0,0,0,80
1095093,773230,2018-08-28,Senate,"Unfinished Business SB1493 N.R. & W. (Hertzberg) Concurrence",39,0,1,0,40
1095104,708577,2018-02-22,Senate,"Be adopted. Ordered to third reading",3,0,2,0,5
1095680,719943,2018-03-08,Assembly,"Be adopted. To third reading",8,0,3,0,11
1095686,732615,2018-04-02,Assembly,"Be adopted. To Consent Calendar",14,0,0,0,14
1095686,734521,2018-04-05,Assembly,"ACR 181 FLORA Consent Calendar Second Day Regular Session",70,0,7,0,77
1095686,769742,2018-07-03,Senate,"Be adopted, but first be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",12,0,1,0,13
1095686,771325,2018-08-13,Senate,"Consent Calendar ACR181",37,0,3,0,40
1095693,727970,2018-03-22,Senate,"Senate 3rd Reading SCR106 McGuire",37,0,2,0,39
1095693,735452,2018-04-09,Assembly,"Be adopted. To Consent Calendar",10,0,1,0,11
1095693,738179,2018-04-12,Assembly,"SCR 106 McGuire Consent Calendar Second Day Regular Session",68,0,9,0,77
1095700,738868,2018-04-16,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",14,0,0,0,14
1095700,747620,2018-05-02,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
1095700,751968,2018-05-10,Assembly,"AB 3246 TRANS. Consent Calendar Second Day Regular Session",73,0,5,0,78
1095700,764858,2018-06-19,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",12,0,1,0,13
1095700,770506,2018-08-06,Senate,"Consent Calendar AB3246 TRANS. (Frazier)",37,0,2,0,39
1095700,771152,2018-08-09,Assembly,"AB 3246 TRANS. Concurrence in Senate Amendments By FRAZIER",76,0,4,0,80
1095706,717527,2018-03-05,Assembly,"Be adopted as amended",7,0,4,0,11
1095706,741522,2018-04-19,Senate,"Assembly 3rd Reading ACR182 Baker et al. By Galgiani",35,0,4,0,39
1095713,725229,2018-03-19,Senate,"Senate 3rd Reading SR86 Hill",38,0,1,0,39
